R715531,R967891
R468245,R771515
R528195,R520289
R468230,R671197
R201480,R519854
R882227,R859392
R346946,R389658
R215185,R307816
R460489,R485963
R256850,R780878
R413572,R372542
R985657,R424868
R460267,R741830
R659141,R135404
R627601,R186818
R491247,R719504
R872735,R890689
R262382,R927993
R990865,R419182
R591852,R205910
R297219,R231079
R586256,R546083
R717256,R792875
R213398,R594866
R137863,R360411
R441993,R427375
R649679,R269858
R572050,R857483
R107802,R628276
R466059,R970366
R170698,R412589
R757968,R829130
R647790,R963238
R700034,R772729
R580940,R291207
R345317,R958455
R639557,R488101
R721419,R773482
R510457,R697868
R434468,R397322
R919086,R722588
R749511,R239018
R593590,R106919
R310943,R532118
R713472,R642189
R327902,R414423
R802876,R963594
R539887,R962428
R256109,R835549
R258793,R919443
R889880,R787645
R173980,R813222
R129746,R215370
R873937,R426005
R601814,R186281
R427154,R585325
R830636,R424179
R228571,R756748
R546833,R464854
R441818,R480853
R316943,R781148
R764216,R233095
R931005,R446932
R598506,R917586
R564535,R281372
R684006,R833881
R585613,R104064
R758283,R955827
R347269,R932181
R352020,R406995
R690771,R303466
R453772,R783715
R554133,R215260
R284708,R658403
R507779,R946240
R114012,R830837
R763992,R134593
R715475,R866103
R700131,R172346
R590215,R503086
R313011,R743929
R893031,R895448
R351968,R729465
R930056,R403596
R795885,R610650
R975257,R133006
R985263,R711345
R308186,R367251
R672591,R576827
R255397,R657824
R618734,R425722
R967241,R690068
R560494,R523829
R578860,R530589
R353054,R962894
R459048,R432957
R319047,R483413
R649406,R242242
R520733,R637027
R659069,R932868
R659519,R393435
R818791,R138629
R718589,R376504
R605052,R843720
R210209,R967277
R300201,R426887
R497936,R505279
R767578,R250095
R174874,R630075
R913626,R778767
R239509,R847677
R656786,R619338
R906068,R336730
R464201,R691229
R655147,R996982
R439875,R737820
R818141,R259334
R197442,R466245
R287239,R686719
R569185,R501435
R180180,R950163
R503171,R167965
R409885,R616665
R412822,R342299
R734730,R297776
R708556,R626024
R923036,R713872
R349466,R975402
R845306,R235099
R276265,R900594
R966652,R761522
R100165,R590488
R765398,R157462
R128181,R420998
R415470,R360753
R889625,R127968
R744333,R828827
R278788,R399804
R555944,R405658
R639894,R997998
R831155,R382196
R198943,R631960
R805121,R268302
R283253,R291541
R688553,R218713
R795028,R884351
R356669,R533239
R895344,R264918
R835791,R380073
R365589,R234385
R848519,R492253
R355699,R727150
R336056,R416518
R299020,R186600
R809020,R790302
R399665,R162373
R417138,R220225
R119740,R175081
R336414,R870007
R254933,R126010
R627429,R926952
R529141,R254530
R527792,R132596
R500102,R626040
R152182,R439125
R423152,R273476
R652688,R990264
R738402,R218267
R190323,R321115
R429744,R240852
R704831,R737637
R956112,R564157
R731149,R730490
R127751,R870289
R741921,R669210
R564132,R467996
R382334,R954388
R106226,R571824
R770117,R829011
R467516,R510344
R730001,R962328
R770206,R304036
R723586,R648353
R960437,R413886
R430669,R565485
R418216,R372255
R230857,R779954
R139105,R350654
R442675,R256080
R719423,R628604
R550470,R223558
R457254,R700561
R122995,R171917
R236506,R145382
R596173,R268037
R280317,R542142
R592081,R185716
R818117,R705593
R478089,R167807
R165853,R751420
R775543,R229947
R620869,R590757
R463998,R866350
R445863,R221343
R956148,R759622
R981280,R465248
R679509,R271791
R666171,R481372
R510436,R159918
R442700,R333371
R273083,R276983
R355513,R128686
R183714,R276254
R294619,R425824
R617682,R681814
R537129,R990682
R814423,R102591
R855823,R413979
R508877,R838740
R398617,R903828
R413179,R895751
R341951,R398202
R178754,R476584
R436626,R761356
R908359,R382362
R327613,R416173
R402632,R528513
R443972,R304930
R250493,R566111
R833362,R881308
R100370,R988256
R167339,R484036
R313380,R624667
R295542,R740028
R893549,R290742
R952008,R674032
R301761,R516419
R699172,R247657
R344866,R921664
R554525,R219470
R479550,R739300
R785433,R732627
R785024,R448412
R596328,R980994
R803982,R393000
R573031,R314004
R928272,R935612
R104445,R740558
R252610,R775810
R930895,R920390
R896314,R782122
R762654,R115530
R974535,R352772
R496438,R546631
R145797,R161051
R970842,R116804
R436129,R892688
R793231,R717946
R340624,R757607
R279340,R287848
R652031,R730241
R115038,R453111
R859095,R446828
R536995,R736375
R187843,R843674
R487650,R879006
R337502,R724421
R699970,R206939
R317623,R742897
R269507,R145637
R790739,R230426
R554812,R171733
R712732,R673085
R375495,R581250
R359129,R853552
R457571,R779479
R689371,R362039
R838123,R758783
R915187,R946804
R696981,R843147
R108061,R164546
R468258,R752416
R511182,R706882
R205206,R540643
R977692,R885911
R257214,R570321
R902025,R455334
R591116,R552139
R529199,R293560
R109920,R729761
R700025,R908498
R189386,R795560
R992932,R399137
R732997,R267936
R845320,R985244
R793830,R697845
R581913,R344797
R193850,R239947
R391513,R971224
R550320,R574701
R290958,R923894
R238588,R960856
R721909,R997084
R796330,R720055
R984973,R925070
R943375,R149448
R682679,R833080
R951460,R564726
R647185,R406455
R865340,R879236
R978535,R344202
R972019,R385200
R371834,R494797
R750212,R713978
R289035,R492118
R534119,R995306
R327281,R664498
R121800,R130771
R220143,R482748
R591621,R223212
R167314,R588663
R305450,R245172
R724142,R471299
R577937,R619244
R914612,R990548
R564922,R847513
R288982,R508738
R822981,R955102
R899692,R688442
R903066,R515912
R510431,R833504
R596678,R958262
R590778,R332314
R953001,R450400
R541767,R499485
R437422,R568259
R929007,R384670
R238595,R322203
R210951,R537619
R958491,R521646
R372904,R458327
R288386,R871381
R159537,R756976
R289712,R331225
R405195,R429903
R594834,R911058
R858255,R743064
R485896,R416917
R435418,R425288
R127343,R269380
R804120,R134188
R645071,R354747
R389635,R494929
R487020,R432321
R936117,R809468
R334435,R787958
R776851,R113253
R975416,R938521
R734100,R760784
R492786,R116520
R716520,R152014
R973917,R100696
R376444,R864944
R669010,R525312
R442925,R943050
R343313,R610890
R988798,R831730
R115802,R369346
R246094,R693974
R750244,R450404
R827436,R901261
R331055,R588789
R134209,R495140
R501090,R286532
R678769,R947156
R518129,R565168
R952636,R988784
R464424,R940985
R148224,R390132
R264512,R172934
R189751,R768842
R458557,R731695
R649549,R506647
R432163,R384261
R882831,R585699
R805909,R507299
R551776,R524975
R209614,R237073
R110137,R688724
R500989,R244176
R876980,R643618
R765653,R746354
R897242,R693054
R660862,R250261
R580543,R454431
R421439,R183757
R719336,R603659
R544630,R668609
R865189,R218995
R878415,R862633
R918512,R773889
R538566,R167722
R635747,R293773
R689949,R327527
R553656,R941972
R995946,R223055
R322767,R663956
R445008,R151241
R810427,R226084
R265425,R536069
R557635,R977442
R158735,R222445
R574646,R673305
R740585,R596050
R788603,R575524
R735164,R862539
R192641,R732464
R390829,R475488
R605924,R957507
R335493,R409442
R955613,R954106
R945807,R898657
R802095,R533083
R452157,R924418
R958360,R763376
R377805,R682981
R347972,R935338
R162400,R580795
R485098,R290594
R767044,R642984
R746472,R281618
R268749,R852778
R268179,R234567
R815891,R158821
R703591,R383876
R692211,R402656
R160064,R141137
R805695,R874394
R532618,R209517
R955619,R529298
R868583,R522527
R692540,R818904
R963256,R189186
R210562,R551827
R210581,R233677
R530115,R844044
R256452,R321566
R927707,R101277
R650024,R401979
R501171,R333819
R423432,R414292
R859750,R778863
R247900,R483807
R355955,R475123
R362345,R965432
R733575,R889115
R919316,R314986
R101313,R553652
R124548,R535120
R599162,R523344
R192331,R390488
R589255,R751790
R841474,R791229
R812543,R641285
R625460,R797030
R412768,R565225
R606561,R341480
R183554,R428045
R521871,R374478
R802234,R656664
R101434,R651066
R861854,R579929
R713631,R827438
R914844,R816893
R382576,R825468
R704573,R147720
R910602,R895363
R157743,R683255
R570267,R678221
R479730,R570089
R445047,R616846
R459469,R260181
R310278,R633960
R667628,R466739
R729025,R572768
R431512,R878116
R951860,R251678
R895406,R739425
R903635,R658280
R609407,R224945
R413949,R169741
R592625,R932429
R627838,R399790
R725832,R507998
R956541,R513876
R685995,R478824
R695148,R437033
R754094,R933451
R273335,R303382
R696177,R679290
R110591,R263047
R297837,R427171
R510432,R609140
R809956,R475274
R170724,R992856
R425512,R432143
R536845,R605362
R811195,R681070
R845378,R686681
R585651,R341331
R379746,R641503
R268816,R288811
R902146,R770214
R535003,R233654
R686135,R285227
R645402,R558691
R109606,R625098
R226814,R271458
R433355,R467417
R163312,R785924
R440308,R185163
R207532,R887403
R896377,R118922
R443732,R342645
R931718,R846648
R858043,R122455
R975384,R793841
R414137,R223208
R460521,R130382
R734903,R106030
R323945,R163491
R588441,R592366
R791625,R980987
R913931,R588892
R589845,R346474
R115672,R306533
R248879,R437090
R627784,R373476
R253243,R304180
R608214,R988729
R366527,R730838
R720016,R536900
R644512,R197008
R218776,R746714
R850113,R334688
R405863,R288524
R400465,R820771
R624152,R579121
R479378,R801225
R697140,R523965
R182247,R174613
R783410,R717038
R312178,R365205
R996148,R252871
R950476,R684390
R262886,R162682
R992826,R152694
R488217,R748623
R505670,R996875
R675806,R236760
R757361,R972874
R939307,R158564
R826750,R637897
R126573,R879840
R286893,R837371
R229667,R752933
R842219,R867546
R281827,R591546
R877370,R587789
R617469,R310733
R937057,R631111
R403090,R699540
R893963,R134335
R960953,R562864
R509616,R159629
R183419,R198956
R160612,R131660
R657085,R398678
R289640,R997847
R835139,R822970
R790969,R338673
R639434,R764662
R518745,R929301
