R812359,R865251
R162018,R876586
R178586,R146577
R940709,R838679
R502685,R636836
R667565,R943958
R753539,R369679
R442898,R262485
R143977,R494047
R803078,R930998
R330042,R633938
R814508,R941629
R425511,R664921
R821738,R671275
R454149,R140493
R476083,R363945
R634827,R841495
R318082,R869728
R684108,R671231
R599874,R227834
R939811,R261849
R562790,R672179
R799633,R182896
R758745,R854963
R611970,R416127
R892202,R297726
R998370,R623957
R783775,R562664
R901303,R244476
R285896,R436507
R433153,R616752
R206792,R595708
R481111,R584222
R830327,R924848
R902224,R445276
R932709,R904831
R624707,R560370
R956889,R345586
R669525,R208016
R555630,R256286
R224048,R843544
R290956,R402508
R734541,R722010
R119226,R317957
R384988,R405781
R410539,R278508
R821803,R746551
R989640,R430095
R467598,R472432
R407586,R569016
R627027,R571920
R289500,R852726
R804463,R246971
R161331,R861745
R988557,R804952
R778279,R965932
R814557,R975059
R330437,R684192
R659571,R706183
R844107,R623024
R430245,R535509
R471105,R224127
R982289,R455787
R466730,R424534
R325792,R490086
R492239,R464998
R216107,R359056
R786994,R417800
R111579,R944177
R822075,R757680
R406330,R636625
R386727,R610921
R475534,R133716
R601849,R708868
R122123,R316425
R928094,R656461
R975052,R349675
R706012,R749315
R222830,R245133
R438988,R862079
R207593,R218469
R999365,R164712
R187137,R702218
R856377,R850297
R633268,R380362
R939457,R348311
R464067,R303438
R493570,R463582
R487573,R520087
R363691,R525801
R570855,R981221
R331053,R621161
R413440,R525446
R284639,R158225
R483763,R314179
R104740,R977898
R412929,R581044
R782137,R444373
R688245,R871614
R431401,R874258
R226435,R135012
R414426,R747988
R257422,R912515
R176786,R782857
R577552,R566118
R778813,R403196
R586861,R356946
R404677,R577092
R513313,R987234
R161581,R121327
R684144,R719706
R946008,R896512
R703349,R795169
R371037,R448102
R807977,R600128
R848874,R480675
R227882,R894924
R747469,R844342
R255509,R670699
R448435,R787170
R636073,R294851
R465767,R421733
R857013,R473726
R730834,R142123
R285933,R767975
R192812,R127046
R235892,R269360
R778878,R974600
R737726,R954859
R426284,R101252
R117966,R965471
R853345,R305389
R905649,R782121
R486882,R183248
R863935,R945821
R178403,R660470
R691786,R129475
R856324,R700984
R579049,R322682
R235641,R236774
R246345,R953214
R455544,R777179
R533892,R303270
R459037,R608877
R116875,R212888
R535433,R136510
R178233,R730010
R749792,R918018
R392607,R275985
R635827,R315327
R473818,R911298
R767667,R424775
R441183,R872766
R261066,R997933
R213096,R167771
R859518,R104765
R990130,R158085
R730328,R434054
R832134,R145824
R253028,R232877
R398984,R606856
R737556,R651197
R703137,R754838
R366588,R661464
R880805,R648815
R374434,R213941
R499970,R722340
R765413,R724563
R448219,R192360
R238273,R388773
R259433,R226506
R308683,R474315
R716115,R792747
R962036,R716318
R436243,R179634
R280550,R695970
R763978,R719087
