R73981,R82968
R44486,R18871
R59889,R87073
R70038,R97796
R59423,R32698
R26393,R69612
R41144,R14648
R15822,R92534
R86929,R87517
R69385,R32672
R57686,R62305
R63937,R54910
R67828,R94882
R70692,R14459
R47077,R38299
R54709,R38462
R14423,R24984
R25231,R95656
R18208,R47394
R73947,R84481
R35910,R23874
R80238,R51189
R32622,R31747
R52036,R47316
R51954,R32684
R64139,R19957
R87196,R22452
R54327,R95087
R91019,R68506
R65450,R30294
R30452,R59192
R21146,R73681
R40455,R80068
R81744,R84857
R95789,R62652
R17835,R58696
R93846,R74024
R52355,R43222
R45635,R25722
R85173,R17924
R79614,R27516
R20851,R25134
R17954,R59053
R19397,R13735
R58846,R27850
R93780,R18455
R55422,R80904
R96123,R25618
R88716,R79394
R44087,R86236
R32427,R65326
R22730,R58504
R63498,R60139
R26433,R40212
R48729,R58868
R24575,R14056
R10636,R80347
R78528,R79353
R82942,R11037
R40222,R84111
R78356,R38760
R90132,R46872
R52878,R90079
R82113,R25667
R78247,R35890
R16136,R84836
R98281,R81159
R72162,R10357
R10203,R39445
R69487,R16143
R29333,R82873
R43450,R88957
R16991,R82306
R78408,R42267
R96993,R68648
R62675,R41388
R54951,R28525
R32947,R89469
R46288,R82163
R64507,R11543
R30084,R15947
R50202,R71438
R84925,R56743
R69535,R84184
R35528,R67844
R55512,R74281
R63788,R71573
R32420,R43478
R91532,R81820
R24637,R79681
R98053,R29606
R70873,R29432
R51927,R40075
R48223,R34079
R65604,R63147
R16383,R17646
R91925,R73873
R67561,R85568
R85010,R96431
R50987,R45783
R71716,R91042
R13425,R45933
R76392,R80006
R13321,R22752
R82978,R50288
R39646,R69561
R33691,R22231
R22190,R83944
R28317,R77450
R13719,R79393
R99744,R47896
R67968,R45114
R60927,R85613
R59275,R51132
R58082,R34629
R39916,R69832
R77568,R65216
R90034,R78108
R14851,R71607
R34370,R98367
R27313,R74537
R40539,R54636
R83591,R69436
R16221,R99171
R39899,R35023
R28102,R41856
R43082,R19699
R80489,R34252
R82110,R42200
R14898,R29386
R86309,R40668
R31237,R69539
R71948,R10457
R79231,R52526
R86076,R57847
R91326,R31676
R95403,R72074
R62080,R31855
R42978,R32457
R68067,R66806
R41356,R84965
R58416,R22188
R95175,R62948
R49469,R62820
R37588,R75115
R38528,R69772
R69891,R76848
R62806,R51713
R76669,R84543
R85520,R75935
R69938,R11617
R10772,R76077
R46403,R65197
R89657,R69441
R65865,R13798
R18445,R21472
R13111,R68670
R29434,R92183
R37980,R62699
R26647,R79179
R44590,R83390
R69340,R48098
R36651,R45545
R25858,R57025
R52953,R14794
R74530,R10073
R47287,R74057
R70683,R39945
R97974,R46064
R91053,R74099
R55020,R15002
R14230,R11829
R85182,R39317
R54048,R34264
R46743,R83286
R75229,R85280
R67150,R62264
R15807,R25993
R88008,R16877
R56100,R65863
R44289,R36672
R69247,R24755
R61405,R63621
R74758,R68754
R66592,R71241
R63603,R28768
R95847,R97146
R11222,R82182
R13312,R55432
R54511,R23179
R79521,R33121
R77039,R85019
R53475,R42305
R66727,R32487
R21668,R59144
R89746,R98734
R27595,R32733
R41168,R74348
R78692,R49688
R84941,R48960
R70674,R55398
R14055,R81063
R40363,R90745
R30137,R98160
R79182,R17912
R89641,R16388
R10732,R16828
R20478,R19495
R38737,R87323
R45414,R17790
R84694,R10142
R71872,R72436
R98339,R25180
R31333,R86013
R87150,R14895
R55513,R66880
R50447,R46472
R42914,R92316
R90470,R10371
R42088,R36454
R74619,R22508
R81146,R84865
R57080,R35396
R91467,R56681
R26014,R93723
R54078,R93616
R99921,R73586
R33536,R23938
R63235,R30424
R91433,R36700
R27828,R32586
R31408,R41996
R15443,R74686
R24946,R55145
R30665,R65665
R17976,R25326
R60001,R17003
R78534,R44269
R22313,R64809
R37473,R15170
R68258,R47863
R71168,R75756
R69248,R33156
R69585,R21590
R39437,R42899
R89138,R45917
R55565,R93099
R98934,R22600
R44444,R58630
R55916,R54747
R39209,R11768
R26834,R41804
R19777,R85423
R77486,R22779
R96540,R95816
R51794,R83738
R70542,R12433
R47119,R36928
R20664,R47011
R89007,R94895
R85157,R22643
R58543,R98459
R94125,R50732
R97353,R95361
R98560,R22680
R66448,R92901
R54751,R22760
R33698,R59520
R30330,R37955
R44788,R25952
R42597,R75375
R98631,R69998
R14071,R72369
R81501,R15218
R23454,R98146
R25511,R47820
R85668,R48928
R14554,R10259
R85148,R79298
R95807,R39136
R77680,R51309
R18117,R52804
R26139,R77937
R73605,R43396
R73356,R91309
R73443,R38829
R56904,R85032
R46792,R48132
R35208,R22435
R69628,R23089
R47087,R50133
R47329,R30919
R93746,R34353
R26611,R66377
R43126,R29947
R60487,R27677
R95095,R90782
R37959,R37556
R98720,R94619
R20458,R38789
R53902,R48444
R29580,R78990
R84143,R86344
R82783,R45023
R95692,R23326
R89550,R92141
R56770,R90377
R28966,R64642
R45299,R55605
R86124,R13170
R26686,R88132
R67073,R37939
R30123,R33689
R66650,R44804
R86829,R26100
R85399,R39976
R13438,R90595
R29992,R23398
R93747,R97213
R88209,R98836
R56237,R75583
R89198,R60588
R93997,R46514
R94706,R50307
R43653,R71182
R54869,R31057
R43765,R62559
R30411,R33284
R23565,R20665
R60521,R12869
R46759,R86526
R51544,R32105
R23604,R91736
R20706,R58235
R94210,R65831
R25232,R59494
R65016,R45448
R14453,R42466
R21806,R36039
R29192,R53614
R58277,R24019
R36415,R72473
R80589,R85041
R40867,R38581
R77561,R56870
R36221,R52494
R47431,R69225
R50209,R51245
R22809,R50967
R16775,R30071
R42670,R19299
R86489,R43599
R97769,R73922
R35911,R47225
R94825,R87802
R32690,R44808
R84097,R94667
R19617,R69560
R80381,R35795
R77699,R73825
R46354,R15444
R74328,R31290
R29395,R43928
R57664,R34812
R11697,R96805
R95269,R49719
R63319,R21239
R96340,R25533
R95415,R96031
R82673,R44557
R21820,R19367
R85819,R61465
R66851,R46534
R55994,R60525
R52473,R78207
R40397,R40568
R36497,R10752
R39282,R50181
R54315,R81502
R21539,R32191
R32222,R20791
R76397,R31130
R15979,R59488
R68239,R44111
R92829,R98952
R29480,R41247
R74295,R11077
R72411,R92973
R16849,R99416
R90833,R97871
R78273,R95476
R49085,R35534
R39855,R89551
R46287,R16608
R73113,R93988
R54990,R48227
R41286,R51845
R10370,R54227
R69235,R28550
R13035,R68367
R52445,R94562
R94565,R74247
R44262,R66404
R31416,R27709
R78346,R66142
R46332,R45869
R39861,R44115
R17351,R21711
R41013,R72225
R43194,R92552
R72045,R97256
R73463,R90297
R96151,R52854
R53505,R95972
R41621,R12922
R99150,R47635
R32955,R91395
R57478,R56953
R55771,R27239
R71723,R72925
R54346,R72536
R18997,R16558
R77277,R30322
R69739,R59386
R79748,R64599
R53164,R44665
R58489,R32772
R69528,R49159
R15861,R53526
R59945,R51737
R51697,R67678
R16938,R94074
R40367,R16893
R65427,R10449
R46247,R29774
R29212,R94935
R70911,R79148
R73917,R85503
R18637,R78381
R26208,R71247
R29819,R81874
R49905,R59765
R92898,R46095
R23625,R31320
R82808,R60388
R28390,R98273
R47869,R15445
R98354,R32838
R69806,R84548
R76704,R56444
R60326,R76545
R65967,R78282
R76359,R27375
R54108,R16737
R96955,R27655
R88752,R59857
R29274,R81615
R81152,R86226
R48656,R46412
R88584,R28466
R51398,R28595
R10665,R59041
R18667,R43046
R29444,R16994
R32598,R12524
R87054,R20775
R76228,R27673
R33759,R43225
R72643,R39568
R73387,R14530
R41468,R76150
R44235,R19244
R45120,R32528
R75276,R90910
R39203,R38273
R95166,R87016
R96190,R89988
R23213,R89384
R29638,R15150
R77320,R22337
R76755,R48361
R77180,R38280
R73215,R73231
R83357,R25698
R36644,R55755
R89088,R48728
R78336,R47619
R37260,R17764
R79059,R43490
R87386,R51334
R40247,R48108
R75836,R74979
R15196,R97214
R32808,R60466
R81866,R57198
R47347,R51648
R30209,R17198
R84205,R60643
R51424,R17195
R28119,R22389
R67753,R21180
R57596,R75174
R63892,R11285
R65527,R74216
R87473,R45628
R66105,R70865
R73088,R93443
R85655,R11413
R72783,R84387
R85692,R15070
R99529,R93783
R88777,R23583
R46065,R49448
R81398,R27513
R75341,R37228
R67759,R63378
R48405,R69482
R56623,R36808
R36369,R54762
R64633,R11706
R27222,R16634
R80094,R20842
R45915,R14082
R98744,R42160
R83632,R13606
R26036,R90982
R21223,R57844
R29402,R59769
R17080,R17827
R49146,R22642
R33134,R53711
R84155,R71232
R36225,R19740
R71183,R93319
R68038,R20260
R63948,R29903
R75944,R43963
R18373,R99701
R50168,R56462
R85569,R93774
R52547,R37300
R29977,R48142
R51824,R18319
R34905,R36647
R17716,R33041
R75000,R77814
R71463,R46720
R39001,R55318
R10850,R83227
R17427,R97691
R27946,R31933
R59756,R62912
R45549,R17373
R65740,R52781
R67519,R86866
R14149,R99239
R71763,R47023
R21224,R37500
R89121,R57020
R59236,R97892
R75692,R28983
R63034,R45269
R65914,R12775
R81026,R97336
R96445,R32995
R75265,R50691
R80791,R99223
R57724,R97503
R79997,R39776
R28413,R89240
R13177,R18339
R23577,R76081
R58941,R84951
R42263,R19575
R42579,R97661
R46011,R76642
